State,Year,Arson,Assault on Women,Bank Robbery,Burglary,Cheating,Child Abuse,Corruption,Cyber Crime,Domestic Violence,Dowry Deaths,Drug Trafficking,Extortion,Forgery,Fraud,Human Trafficking,Illegal Weapons,Kidnapping,Money Laundering,Murder,Rape,Riots,Sexual Harassment,Stalking,Theft,Trespassing
Bihar,2017,0,0,0,0,1071,0,0,0,532,0,0,729,0,0,0,0,537,0,343,0,704,0,961,0,1322
Bihar,2018,0,0,0,0,0,0,1329,0,0,212,0,1306,0,0,0,0,0,0,1321,1455,0,0,0,1362,0
Bihar,2019,0,0,0,0,1104,737,0,1454,217,0,802,1265,135,0,0,0,1175,0,0,0,0,0,0,2482,0
Bihar,2020,1383,639,0,0,104,0,0,0,0,0,0,0,0,485,509,0,0,3653,0,0,0,0,0,0,0
Chhattisgarh,2015,1146,1336,636,0,0,0,1433,0,0,0,0,0,0,577,1359,0,0,0,0,1062,0,0,0,0,0
Chhattisgarh,2016,0,0,3105,0,0,0,0,0,0,0,0,0,0,0,589,0,0,1497,0,0,0,0,0,496,1210
Chhattisgarh,2017,0,687,0,0,0,0,0,0,0,0,1613,0,0,0,0,0,0,0,0,1159,0,0,1278,0,1519
Chhattisgarh,2018,0,635,0,0,1290,0,0,912,0,0,0,0,226,0,767,0,1256,2560,0,0,0,190,1416,0,0
Chhattisgarh,2019,0,0,0,0,0,0,0,0,0,0,0,0,1384,1097,0,0,1470,0,511,1393,0,1199,0,233,0
Chhattisgarh,2020,0,0,0,853,0,0,0,724,546,0,0,0,0,0,0,0,0,0,659,0,0,0,0,632,0
Goa,2015,0,0,902,0,0,1491,0,0,326,0,211,0,0,870,0,0,1220,0,0,0,0,0,0,367,0
Goa,2016,977,0,1157,0,1332,328,0,179,0,0,0,607,0,282,0,0,0,2083,0,176,1038,1066,0,0,1323
Goa,2017,1281,0,0,0,0,0,0,1480,1023,0,0,0,0,0,0,0,1461,1326,0,0,0,0,0,0,0
Goa,2018,0,0,0,0,0,0,655,0,0,0,1223,2826,0,0,0,0,0,0,1309,0,953,0,172,994,1241
Goa,2019,944,0,0,429,0,0,1064,0,0,0,1013,2393,0,0,0,0,0,0,0,0,79,0,260,0,0
Goa,2020,0,902,0,0,614,0,290,243,1483,402,198,0,0,0,0,0,0,1293,0,0,0,0,0,0,0
Gujarat,2015,0,0,0,0,2475,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,154,1050,908,0,0
Gujarat,2016,1500,0,0,497,0,0,0,0,0,0,1582,1295,0,0,0,0,0,578,800,0,411,0,1199,0,469
Gujarat,2017,1233,424,0,0,0,0,0,0,0,1647,0,0,0,422,0,0,485,0,0,1332,0,0,500,0,0
Gujarat,2018,0,499,0,1754,0,0,0,0,0,0,0,1022,0,0,0,2032,0,0,1403,0,521,504,0,1412,1368
Gujarat,2019,538,0,721,0,0,1380,0,2866,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,1686
Gujarat,2020,0,0,0,0,0,0,1445,0,462,0,0,288,0,0,0,239,1408,0,0,0,428,391,0,0,0
Haryana,2015,0,816,0,0,0,1782,1095,0,0,0,0,0,0,729,0,827,0,1423,0,0,0,0,0,0,0
Haryana,2016,0,0,0,0,0,0,555,929,0,0,0,0,0,0,858,0,0,0,0,1465,0,0,242,0,427
Haryana,2017,598,888,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2018,0,0,429,0,0,0,0,371,0,0,0,0,0,0,332,0,0,0,0,0,0,839,1393,0,94
Haryana,2019,235,0,0,874,718,0,80,231,0,393,42,0,232,0,1269,0,1091,0,1390,25,0,0,0,0,1244
Haryana,2020,334,1384,0,0,399,0,2449,656,0,1424,602,180,0,0,0,0,0,1480,0,810,0,1009,1190,0,472
Himachal Pradesh,2015,31,388,317,0,0,0,0,0,0,0,1314,0,1116,1429,0,1121,378,0,0,362,0,1374,0,726,0
Himachal Pradesh,2016,0,0,1267,0,0,0,386,0,0,0,0,0,0,851,0,0,934,1474,0,1694,0,791,0,0,0
Himachal Pradesh,2017,0,0,1403,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0,0,0,0,0
Himachal Pradesh,2018,0,0,0,587,108,0,0,0,0,0,0,0,140,0,0,1161,0,1058,430,430,0,0,1025,0,0
Himachal Pradesh,2019,0,0,1306,0,434,0,0,0,0,0,0,0,0,166,0,697,0,2737,0,0,0,0,1222,0,0
Himachal Pradesh,2020,0,0,0,0,0,1232,0,1421,0,1245,775,0,583,0,0,0,0,0,0,0,0,0,0,1180,0
Jharkhand,2015,235,1157,0,0,0,0,0,0,0,0,1339,1384,1141,0,0,0,282,790,757,0,0,0,0,0,0
Jharkhand,2016,1179,0,0,0,0,94,0,1205,0,0,0,866,0,0,0,0,0,0,0,0,1138,0,0,1152,0
Jharkhand,2017,0,0,1488,0,0,0,456,457,0,0,0,1741,0,696,285,0,1471,0,123,0,0,0,0,0,1331
Jharkhand,2018,811,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,1488,0,0,0,0,0,1736,0,837
Jharkhand,2019,0,0,145,474,162,0,0,0,0,41,0,0,0,0,0,0,279,0,0,0,2186,368,0,727,0
Jharkhand,2020,0,1231,0,0,0,0,0,2278,473,0,0,1255,364,306,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2015,0,0,0,0,0,0,0,900,0,0,1069,0,0,0,0,0,0,0,0,0,0,749,0,0,0
Karnataka,2016,607,1395,0,0,0,0,730,0,430,0,0,0,2240,0,1855,0,0,0,0,0,0,0,0,1389,1461
Karnataka,2017,0,0,1155,0,0,380,0,0,426,0,0,1228,0,0,0,1431,0,0,0,0,0,0,1277,1240,0
Karnataka,2018,383,0,0,0,0,899,487,0,0,0,0,0,0,0,0,0,1140,149,222,1301,361,0,0,528,0
Karnataka,2019,0,624,0,0,1964,866,685,0,550,0,2733,359,0,0,0,0,1346,0,0,0,0,0,0,182,627
Karnataka,2020,0,0,0,0,1453,1009,0,0,0,0,0,716,0,1114,0,0,0,1322,604,0,627,678,0,1475,0
Kerala,2015,0,1024,378,0,1493,0,0,2228,0,0,0,0,0,0,0,0,1207,0,1433,533,0,1417,0,1263,0
Kerala,2016,0,0,0,0,0,0,0,451,0,0,0,0,0,1171,0,744,0,0,0,160,0,241,0,0,0
Kerala,2017,932,819,0,0,1254,312,0,0,0,0,0,1092,0,0,0,708,0,1165,0,425,0,467,1065,0,969
Kerala,2018,0,0,0,0,1371,311,0,287,653,1313,0,0,0,0,0,0,1137,1437,0,0,0,0,558,0,0
Kerala,2019,0,0,2393,0,0,0,1219,0,0,0,0,663,408,0,1016,0,0,0,0,0,1343,544,777,28,0
Kerala,2020,0,0,0,0,0,0,0,821,0,0,1435,151,0,436,0,0,0,0,0,0,0,598,1436,0,0
Madhya Pradesh,2015,573,0,0,0,0,0,0,1031,0,0,364,0,0,0,0,0,0,0,0,0,1496,0,208,2258,0
Madhya Pradesh,2016,0,297,0,1321,575,0,0,0,0,0,0,0,0,401,779,0,0,0,0,0,0,0,0,0,1046
Madhya Pradesh,2017,1375,0,642,0,318,0,0,0,1085,0,1035,0,0,893,1008,0,0,0,418,0,0,0,0,0,0
Madhya Pradesh,2018,0,0,0,0,912,0,0,504,0,1113,925,0,67,0,0,656,0,0,0,0,343,0,0,2293,0
Madhya Pradesh,2019,1127,0,0,0,1076,1495,1046,0,0,0,0,0,404,0,630,0,1054,0,478,0,0,0,0,0,753
Madhya Pradesh,2020,956,0,0,0,0,0,0,0,0,0,1082,664,0,1133,0,0,0,0,0,2019,0,0,0,0,305
Maharashtra,2015,0,0,0,0,728,0,0,0,0,0,668,0,514,0,0,0,1174,0,723,0,0,774,0,1237,952
Maharashtra,2016,0,0,797,0,715,0,976,0,1032,571,1037,95,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2017,0,0,0,0,607,1485,0,0,228,0,180,0,0,490,0,2121,0,0,0,0,1987,0,0,1149,454
Maharashtra,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,987,0,0
Maharashtra,2019,0,187,1270,0,0,823,0,0,918,0,842,0,0,487,0,0,0,2790,0,0,0,1324,0,1391,542
Maharashtra,2020,0,0,0,37,0,0,71,0,0,0,0,0,1028,1366,1316,0,1093,0,0,0,0,0,0,0,0
Manipur,2015,1089,0,0,0,1255,0,0,749,1361,0,0,0,0,0,1727,616,0,0,0,826,0,1938,0,1148,0
Manipur,2016,0,0,0,450,1437,0,0,0,0,0,1643,381,0,1153,0,938,0,0,493,0,0,0,0,0,24
Manipur,2017,0,2794,0,0,0,0,0,930,0,0,0,1388,0,0,94,1087,0,794,0,0,1200,0,1326,569,893
Manipur,2018,0,0,538,0,0,0,0,0,509,831,1959,0,0,0,0,0,0,1283,0,0,0,0,0,0,0
Manipur,2019,0,1411,1442,0,892,0,0,0,0,0,985,570,0,0,1296,0,186,444,212,389,630,0,828,1488,1304
Manipur,2020,328,0,0,0,0,0,0,0,0,0,0,876,1449,0,2171,0,0,0,0,0,1310,0,1381,846,0
Meghalaya,2015,0,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,535,73,1174,2224,1243,0,0,0,0,1336
Meghalaya,2016,0,187,1296,0,0,0,583,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2017,1175,1727,448,0,0,1424,0,0,0,0,0,0,792,0,0,0,955,0,0,0,0,0,0,0,1710
Meghalaya,2018,227,0,0,2098,0,0,0,0,101,0,0,1486,0,0,0,840,0,0,1270,0,0,0,0,0,0
Meghalaya,2019,0,40,0,0,1318,0,0,0,0,0,0,0,0,1455,1110,1136,0,869,0,1121,0,386,0,1612,0
Meghalaya,2020,0,506,0,0,0,0,0,0,0,0,0,914,0,1020,0,0,0,0,0,0,345,612,0,0,0
Mizoram,2015,0,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,0,827,0,1006,0,0,0,0,1523
Mizoram,2016,0,0,43,1067,0,1244,1016,0,0,90,730,1399,0,0,843,1014,385,1673,0,415,0,1910,820,0,0
Mizoram,2017,0,0,0,0,0,0,1495,0,0,380,219,0,1283,0,0,0,0,0,0,1360,0,0,0,0,0
Mizoram,2018,0,0,0,422,0,0,526,0,0,0,0,1387,0,605,0,0,2651,0,0,1261,0,2346,0,1429,1229
Mizoram,2019,0,1025,0,0,0,38,712,0,2295,0,0,0,0,0,0,529,0,0,0,0,0,918,1623,0,0
Mizoram,2020,0,0,0,589,0,0,0,0,224,0,0,0,92,0,872,0,0,3161,0,0,1196,0,0,0,0
Nagaland,2015,777,1462,436,0,447,0,0,0,0,330,601,0,0,815,544,0,0,0,0,132,486,0,0,0,350
Nagaland,2016,0,0,0,328,0,78,1074,2220,1384,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2017,1278,173,95,0,0,649,0,957,0,0,782,0,0,783,0,0,0,0,621,0,460,0,0,0,90
Nagaland,2018,245,1188,0,0,0,0,0,0,1105,0,0,830,1468,0,0,0,1345,0,0,0,0,0,0,715,0
Nagaland,2019,0,0,0,0,855,1022,0,0,0,1179,662,0,0,0,0,87,0,0,0,0,0,0,0,0,1010
Nagaland,2020,0,1064,0,0,0,455,474,0,0,0,0,0,93,0,0,943,0,0,1154,0,0,1173,0,0,0
Odisha,2015,1111,0,0,747,0,0,0,0,1313,0,0,0,0,0,831,689,483,484,0,0,0,1187,324,0,2195
Odisha,2016,0,199,0,1099,0,37,37,0,1974,958,0,0,0,772,0,0,0,0,801,0,300,0,1371,0,0
Odisha,2017,0,244,0,0,1247,0,0,0,0,0,0,1361,0,0,0,311,0,0,1155,351,0,0,1174,1699,166
Odisha,2018,0,0,0,0,2282,0,0,0,0,1438,0,0,1184,0,0,0,0,0,0,0,0,688,0,0,717
Odisha,2019,0,0,0,0,1349,0,286,245,0,947,0,1006,0,0,0,0,854,0,0,0,0,0,0,0,0
Odisha,2020,0,0,0,427,1004,965,0,0,235,168,1334,0,937,0,459,0,0,0,0,768,0,0,805,0,0
Punjab,2015,844,0,1480,0,0,0,0,0,1925,0,634,1367,1278,1045,0,0,0,914,1446,0,790,0,695,0,0
Punjab,2016,0,447,0,0,1159,786,1199,0,0,0,0,0,0,383,323,0,0,0,569,0,1087,760,275,0,0
Punjab,2017,1294,705,0,980,1175,1442,1086,59,0,0,125,1051,0,1100,0,0,0,0,0,0,0,0,0,295,0
Punjab,2018,0,1384,625,0,256,0,0,0,918,409,0,826,1117,0,1045,0,0,0,0,0,380,321,508,0,390
Punjab,2019,0,778,0,0,263,0,0,0,0,1337,0,783,0,835,0,0,0,0,1279,0,0,1938,666,1503,480
Punjab,2020,0,2546,1343,0,0,0,1828,0,0,0,0,0,0,0,3332,0,0,0,0,0,0,0,0,1167,0
Rajasthan,2015,0,0,0,666,975,720,0,0,0,0,0,0,1469,0,0,37,0,0,968,0,0,0,0,0,0
Rajasthan,2016,0,1042,0,0,0,0,0,0,0,0,182,0,0,0,0,844,0,0,0,0,0,0,0,1563,0
Rajasthan,2017,0,0,0,0,0,0,0,0,0,1221,187,1386,0,0,0,855,0,0,0,1923,0,0,0,0,0
Rajasthan,2018,599,282,0,69,1055,0,0,0,0,0,101,155,1206,0,0,0,0,1251,0,0,985,0,900,0,0
Rajasthan,2019,0,0,0,36,0,652,1438,457,0,0,1002,0,0,608,0,0,0,1483,39,0,0,0,585,0,0
Rajasthan,2020,0,0,0,1891,0,0,0,0,0,99,1293,2311,0,362,0,0,0,0,235,0,595,0,0,0,857
Sikkim,2015,0,0,0,0,0,29,0,0,0,0,0,265,0,0,0,0,54,0,942,863,656,0,306,146,0
Sikkim,2016,0,0,309,0,0,0,0,0,539,494,0,0,1029,799,0,0,1116,0,1142,0,0,0,0,0,1401
Sikkim,2017,0,0,1309,0,0,0,0,746,0,0,1450,0,0,0,0,0,0,158,0,0,2235,0,0,0,1938
Sikkim,2018,0,0,1438,0,0,2912,0,0,0,0,532,0,356,826,0,0,194,0,784,1392,640,1238,0,0,0
Sikkim,2019,0,0,0,0,0,0,0,0,538,1233,0,0,0,0,0,0,0,1458,0,127,0,1296,0,1464,0
Sikkim,2020,0,0,0,0,0,0,1225,1453,0,1609,0,0,0,0,799,0,0,0,0,1497,0,0,1446,0,0
Tamil Nadu,2015,0,204,0,0,0,668,719,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
Tamil Nadu,2016,0,0,448,0,0,0,0,1254,2346,1655,0,0,0,0,314,0,0,1365,0,0,0,0,580,2143,1355
Tamil Nadu,2017,221,0,0,0,1411,305,1306,0,1307,812,0,109,172,895,1077,0,0,670,686,0,0,0,0,1384,1423
Tamil Nadu,2018,1014,0,0,0,0,0,0,682,558,0,40,0,0,0,0,0,837,0,2417,0,456,1000,0,0,0
Tamil Nadu,2019,0,109,406,0,0,0,0,0,0,0,937,0,614,1310,0,0,0,0,0,1454,417,0,0,144,0
Tamil Nadu,2020,0,0,1467,0,581,0,0,0,460,0,0,1900,746,0,666,846,0,1207,0,0,0,0,0,0,1029
Telangana,2015,676,0,0,1049,129,0,0,0,0,0,395,0,0,0,608,0,0,1394,215,0,0,0,354,0,0
Telangana,2016,0,0,0,0,0,0,0,1389,0,1319,0,0,0,0,0,0,1442,0,1383,0,0,0,605,0,0
Telangana,2017,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,1500,0,0,0,159,1498
Telangana,2018,170,0,0,0,0,0,0,510,0,0,868,0,0,0,0,224,1997,0,2083,773,0,0,0,0,0
Telangana,2019,1013,797,0,0,1358,1130,0,0,0,665,360,0,0,0,0,544,496,0,0,0,0,0,1334,0,823
Telangana,2020,0,0,0,0,0,0,0,0,1594,0,0,0,1180,0,0,1744,95,0,0,0,0,0,850,640,0
Tripura,2015,0,0,0,0,0,0,435,1343,0,1874,0,1336,0,0,635,0,0,0,696,0,0,0,0,0,0
Tripura,2016,0,747,306,0,0,0,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044,972
Tripura,2017,0,0,64,0,0,357,0,0,0,0,851,0,481,1446,0,0,0,573,0,0,0,0,0,0,0
Tripura,2018,20,0,0,0,0,0,0,0,1220,0,128,0,0,0,917,0,0,0,0,0,0,0,787,0,0
Tripura,2019,0,0,2061,513,0,0,862,0,0,975,0,0,1400,0,1471,0,0,690,0,1264,0,0,0,0,0
Tripura,2020,373,0,0,552,0,0,0,1497,1129,0,0,408,0,1252,926,0,0,0,0,0,826,829,0,1896,0
Uttar Pradesh,2015,0,0,0,0,100,0,1334,1194,0,0,0,1282,0,0,0,0,849,0,0,0,0,0,0,0,0
Uttar Pradesh,2016,0,0,1178,299,0,0,0,0,0,2338,292,0,0,945,0,2589,0,0,0,0,0,0,0,0,1212
Uttar Pradesh,2017,0,753,944,779,1179,0,0,43,1222,0,0,386,0,172,0,423,0,1229,0,481,321,0,961,0,515
Uttar Pradesh,2018,0,0,0,2747,0,0,1074,1202,0,0,0,262,0,1217,1124,2028,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2019,179,0,0,0,0,0,0,1359,0,0,0,0,0,798,0,0,0,0,0,1202,648,0,418,1479,0
Uttar Pradesh,2020,341,0,0,0,1458,0,0,130,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,477
Uttarakhand,2015,0,0,0,0,0,0,0,612,0,1098,0,0,0,1273,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2016,0,854,912,0,0,0,0,0,0,1123,748,1018,747,2309,0,0,0,0,0,818,0,0,0,0,0
Uttarakhand,2017,963,356,260,0,0,0,0,1101,0,0,0,1435,0,0,0,1292,0,0,0,0,0,2396,0,794,0
Uttarakhand,2018,1259,0,1204,0,0,1868,437,0,0,189,0,0,1445,771,0,0,0,0,0,0,917,364,0,0,0
Uttarakhand,2019,0,0,0,0,518,1718,0,0,1264,1479,0,0,184,2489,372,0,0,357,0,0,0,0,1292,0,0
Uttarakhand,2020,0,0,0,0,0,2588,0,1086,0,0,0,1311,0,0,80,523,0,0,75,0,0,0,0,356,0
West Bengal,2015,0,173,0,0,0,0,0,317,0,1045,0,0,0,0,0,273,0,0,0,0,0,0,0,1185,0
West Bengal,2016,1818,0,0,1225,0,0,0,0,0,0,1069,1437,0,0,1321,0,0,0,0,0,0,1355,447,0,0
West Bengal,2017,1376,940,0,0,0,0,0,1393,747,931,0,0,782,0,0,0,1423,3961,786,0,612,0,0,0,0
West Bengal,2018,0,0,0,217,0,0,0,885,0,1156,0,0,1603,0,0,0,0,0,389,362,0,0,0,0,0
West Bengal,2019,0,0,1311,0,0,1353,0,1493,860,0,0,1041,0,2988,0,0,0,0,955,1435,0,0,0,0,127
West Bengal,2020,891,0,0,0,0,0,0,0,489,0,0,0,0,0,978,0,828,0,0,702,0,0,1391,0,0
